unit_type	unit_id	label	grade	winning_sources	winning_records	n_true	n_false	total_records	unique_sources_all	unique_uid_count	unique_roi_count
UID	1A54-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1AEC-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1AIM-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1ATK-A	POSITIVE	1S-2R	1	2	2	0	2	1	1	1
UID	1B02-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1B3O-B	POSITIVE	10S-47R	10	47	47	237	284	14	1	7
UID	1BJG-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1BP4-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1CQQ-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1CV8-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1CVR-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1F28-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1F4D-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1FH0-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1FJ8-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1GJM-A	POSITIVE	1S-2R	1	2	2	0	2	1	1	2
UID	1GTH-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1GXF-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1I5G-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1ITO-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1JCN-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1JR1-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1JVL-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1KWO-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1M4A-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1M4B-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1M6D-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1MEG-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1MS6-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1NWE-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1QA7-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1SHJ-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1T39-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1TLO-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1VZE-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1WOF-A	POSITIVE	1S-2R	1	2	2	0	2	1	1	1
UID	1X83-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	1ZCM-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	2A4T-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	2AX1-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	2BDZ-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	2C2Z-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	2C6Q-D	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	2CE2-X	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	2F7D-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	2F9A-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	2FQQ-B	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	2GKE-A	POSITIVE	1S-2R	1	2	2	0	2	1	1	2
UID	2H7S-C	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	2HWO-A	POSITIVE	1S-2R	1	2	2	0	2	1	1	2
UID	2IJN-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	2IO9-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	2IPH-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	2NTG-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	2P7U-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	2QO3-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	2R4B-B	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	2UZJ-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	2VKZ-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	2VV4-B	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	2WVP-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	2Y5Y-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	2YJ0-F	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	2YNB-B	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	3BPF-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	3BWK-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	3C9W-A	POSITIVE	1S-2R	1	2	2	0	2	1	1	1
UID	3FRZ-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	3GCD-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	3HKE-B	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	3IOQ-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	3KHU-E	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	3KYD-B	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	3L2X-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
UID	3NMI-A	POSITIVE	1S-1R	1	1	1	0	1	1	1	1
